,DataYear,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,LargestPropertyUseType,ENERGYSTARScore,TotalGHGEmissions,Latitude,Longitude,BuildingAge,Electricity,NaturalGas,SteamUse,GFAPerBuilding,GFAPerFloor,GFABuildingRate,GFAParkingRate,SiteEnergyUse(kBtu)
0,2016,NONRESIDENTIAL,Hotel,DOWNTOWN,1.0,12.0,Hotel,60.0,249.98,47.6122,-122.33799,89.0,0.546059929874816,0.1766383848028659,0.277301616131214,88434.0,7369.5,1.0,0.0,7226362.5
1,2015,NONRESIDENTIAL,Hotel,DOWNTOWN,1.0,11.0,Hotel,51.0,263.51,47.61310583,-122.33335756,19.0,0.4674767947035246,0.5325424769592907,0.0,103566.0,9415.09090909091,0.8545468590077825,0.1454531409922175,8354235.0
5,2015,NONRESIDENTIAL,Other,DOWNTOWN,1.0,2.0,Police Station,,304.62,47.6164389,-122.33676431,16.0,0.6033034892844199,0.3967216518043834,0.0,97288.0,48644.0,0.6176506866211661,0.382349313378834,12051984.0
6,2015,NONRESIDENTIAL,Hotel,DOWNTOWN,1.0,11.0,Hotel,25.0,208.46,47.6141141,-122.33274086,89.0,0.42855680664888063,0.5714609452789627,0.0,83008.0,7546.181818181818,1.0,0.0,6252842.0
7,2015,NONRESIDENTIAL,Other,DOWNTOWN,1.0,8.0,Other,,199.99,47.61290234,-122.33130949,89.0,0.6392763672455526,0.0490317337849139,0.3117181982881478,102761.0,12845.125,1.0,0.0,6426022.0
8,2015,NONRESIDENTIAL,Hotel,DOWNTOWN,1.0,15.0,Hotel,46.0,331.61,47.60258934,-122.33255325,111.0,0.5822224195772845,0.4178017221181623,0.0,163984.0,10932.266666666666,1.0,0.0,12633744.0
12,2016,NONRESIDENTIAL,Hotel,DOWNTOWN,1.0,9.0,Hotel,48.0,328.23,47.60699,-122.33346,88.0,0.2036064725027033,0.5452810258248961,0.2511125016724005,65009.0,7223.222222222223,1.0,0.0,6596057.5
14,2016,NONRESIDENTIAL,Hotel,DOWNTOWN,1.0,11.0,Hotel,35.0,511.39,47.60755,-122.33244,94.0,0.3564991102333858,0.19039917172170073,0.4531016715333288,92190.0,8380.90909090909,0.7266514806378133,0.2733485193621868,10750010.0
16,2016,NONRESIDENTIAL,Other,DOWNTOWN,1.0,6.0,Fitness Center/Health Club/Gym,,433.86,47.60546,-122.33279,86.0,0.44733736986757056,0.09141661299932224,0.4612459669141324,103911.0,17318.5,1.0,0.0,9956396.0
18,2016,NONRESIDENTIAL,Mixed Use Property,DOWNTOWN,1.0,5.0,Social/Meeting Hall,,273.02,47.60515,-122.33159,109.0,0.4949709669935957,0.2715051351322747,0.23352381570307298,57452.0,11490.4,1.0,0.0,7606084.5
19,2015,NONRESIDENTIAL,Hotel,DOWNTOWN,1.0,10.0,Other,83.0,411.22,47.60397899,-122.3320576,99.0,0.2282523181313409,0.36315912379581067,0.4085979906979021,104352.0,10435.2,1.0,0.0,7845112.0
22,2015,SCHOOL,School,SOUTHEAST,1.0,2.0,K-12 School,96.0,35.17,47.54570136,-122.2685843,54.0,0.6269049704928134,0.3731204726651089,0.0,56228.0,28114.0,1.0,0.0,1454222.0
23,2016,NONRESIDENTIAL,Hotel,NORTHEAST,1.0,6.0,Hotel,84.0,90.01,47.65959,-122.31755,15.0,0.6185914176596399,0.3814084458601386,0.0,88592.0,14765.333333333334,0.6547543796279574,0.34524562037204265,3663534.5
24,2015,NONRESIDENTIAL,School,DOWNTOWN,1.0,7.0,College/University,,308.6,47.61839333,-122.3369292,87.0,0.46802188865366356,0.5319975158189857,0.0,126593.0,18084.714285714286,1.0,0.0,9791557.0
25,2015,NONRESIDENTIAL,Other,DOWNTOWN,1.0,2.0,Automobile Dealership,,9.68,47.61490582,-122.33040102,85.0,1.0000417651688573,0.0,0.0,67224.0,33612.0,1.0,0.0,1388717.0
26,2016,NONRESIDENTIAL,Hotel,EAST,1.0,8.0,Hotel,,256.57,47.61301,-122.32929,25.0,0.10741393922337275,0.892586154619564,0.0,158676.0,19834.5,0.8090385439511961,0.19096145604880385,5328051.5
27,2015,NONRESIDENTIAL,Hotel,DOWNTOWN,1.0,10.0,Hotel,20.0,319.73,47.61806905,-122.33005445,14.0,0.5226828464275464,0.4773389184402389,0.0,171866.0,17186.6,0.7772625184736947,0.22273748152630538,11026945.0
28,2016,NONRESIDENTIAL,Hotel,DOWNTOWN,1.0,5.0,Hotel,57.0,128.44,47.61558,-122.34186,38.0,0.5264750524180986,0.4735248353916321,0.0,68410.0,13682.0,0.7631925157140769,0.2368074842859231,4456714.5
29,2016,SCHOOL,School,NORTH,1.0,2.0,K-12 School,75.0,270.18,47.70994,-122.29301,67.0,0.28729182748397186,0.7127081725160281,0.0,160645.0,80322.5,1.0,0.0,6779173.0
30,2015,SCHOOL,School,MAGNOLIA / QUEEN ANNE,1.0,2.0,K-12 School,94.0,10.27,47.63303191,-122.35245717,26.0,1.0000414247956604,0.0,0.0,51582.0,25791.0,1.0,0.0,1472548.0
31,2015,NONRESIDENTIAL,Office,LAKE UNION,1.0,3.0,Office,,149.39,47.66391557,-122.33172174,109.0,0.3393371673031685,0.6606768722568016,0.0,87262.0,29087.333333333332,1.0,0.0,3988729.0
32,2016,NONRESIDENTIAL,Hotel,NORTHEAST,1.0,4.0,Hotel,29.0,215.0,47.66583,-122.29965,22.0,0.45233081132779845,0.5476691136935911,0.0,81871.0,20467.75,1.0,0.0,6668568.5
33,2015,NONRESIDENTIAL,Entrepot,NORTHEAST,1.0,2.0,Self-Storage Facility,77.0,3.71,47.66270326,-122.29612323,60.0,0.8891859377088625,0.11084992550232949,0.0,126394.0,63197.0,1.0,0.0,306721.0
35,2015,SCHOOL,School,MAGNOLIA / QUEEN ANNE,1.0,2.0,K-12 School,91.0,28.78,47.65726207,-122.39065097,25.0,0.7743148757075933,0.22571713662379833,0.0,54986.0,27493.0,1.0,0.0,1655612.0
36,2015,SCHOOL,School,NORTHEAST,1.0,2.0,K-12 School,88.0,258.67,47.68245037,-122.2939354,65.0,0.250823495255418,0.7491867818754447,0.0,175565.0,87782.5,1.0,0.0,6227419.0
37,2015,NONRESIDENTIAL,Office,BALLARD,1.0,2.0,Office,57.0,123.08,47.66580963,-122.3860321,54.0,0.7097619680690447,0.290267483342166,0.0,94900.0,47450.0,1.0,0.0,6043853.0
38,2015,NONRESIDENTIAL,Office,GREATER DUWAMISH,1.0,2.0,Office,93.0,56.97,47.58002948,-122.31181286,,0.5735248301200457,0.4264990274530497,0.0,52554.0,26277.0,1.0,0.0,2137686.0
39,2015,NONRESIDENTIAL,School,NORTHWEST,1.0,3.0,K-12 School,95.0,251.72,47.68894837,-122.33616192,61.0,0.38052854486323534,0.6194871328415713,0.0,175015.0,58338.333333333336,1.0,0.0,7080118.0
40,2015,NONRESIDENTIAL,Entrepot,DOWNTOWN,1.0,3.0,Self-Storage Facility,,39.87,47.61311034,-122.35096928,104.0,0.7487026457549898,0.25132809392555966,0.0,70586.0,23528.666666666668,1.0,0.0,2147062.0
42,2015,NONRESIDENTIAL,Office,DOWNTOWN,1.0,5.0,Office,79.0,64.23,47.61103976,-122.3363484,42.0,1.000041350832948,0.0,0.0,168115.0,33623.0,1.0,0.0,9213841.0
